Result Number,Entity  ID,Agency,Vendor ID,Recording Technique,Project,Event,Roll,Frame,Acquisition Date,Scale,Strip Number,Image Type,Quality,Cloud Cover,Photo ID,Flying Height in Feet,Film Length and Width,Focal Length,Stereo Overlap,Other,Center Latitude,Center Longitude,NW Corner Lat ,NW Corner Long,NE Corner lat,NE Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID,Ordering ID,Download Link
393,AR5780026164793,5,,2,78000,,002616,4793,1978/06/20,65142,0000,13,8,0,5780026164793,65003,229mm x 229mm,304.99 mm,5,,60°29'37.16"N,154°50'21.18"W,60°33'24.00"N,154°58'01.99"W,60°33'24.00"N,154°42'54.00"W,60°25'51.12"N,154°42'42.01"W,60°25'49.48"N,154°57'50.00"W,60.493655,-154.839217,60.556667,-154.96722,60.556667,-154.715,60.430867,-154.71167,60.430411,-154.96389,AR5780026164793,AR5780026164793,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164793
394,AR5780026164792,5,,2,78000,,002616,4792,1978/06/20,65142,0000,13,8,0,5780026164792,65003,229mm x 229mm,304.99 mm,5,,60°29'36.79"N,154°57'09.18"W,60°33'24.00"N,155°04'50.99"W,60°33'24.00"N,154°49'41.02"W,60°25'50.38"N,154°49'28.99"W,60°25'48.74"N,155°04'39.00"W,60.493553,-154.952549,60.556667,-155.08083,60.556667,-154.82806,60.430662,-154.82472,60.430206,-155.0775,AR5780026164792,AR5780026164792,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164792
395,AR5780026164850,5,,2,78000,,002616,4850,1978/06/20,64538,0000,13,8,0,5780026164850,65003,229mm x 229mm,304.99 mm,5,,60°42'18.00"N,154°53'54.99"W,60°45'48.88"N,155°01'37.99"W,60°46'08.98"N,154°46'40.01"W,60°38'46.22"N,154°46'10.02"W,60°38'28.06"N,155°01'08.00"W,60.704999,-154.898608,60.763578,-155.02722,60.769161,-154.77778,60.646171,-154.76945,60.641127,-155.01889,AR5780026164850,AR5780026164850,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164850
396,AR5780026164849,5,,2,78000,,002616,4849,1978/06/20,64538,0000,13,8,0,5780026164849,65003,229mm x 229mm,304.99 mm,5,,60°42'26.83"N,154°46'59.98"W,60°45'58.16"N,154°54'43.49"W,60°46'18.28"N,154°39'44.50"W,60°38'54.62"N,154°39'14.51"W,60°38'36.44"N,154°54'13.50"W,60.707454,-154.783328,60.766155,-154.91208,60.771744,-154.66236,60.648505,-154.65403,60.643455,-154.90375,AR5780026164849,AR5780026164849,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164849
397,AR5780026164848,5,,2,78000,,002616,4848,1978/06/20,64538,0000,13,8,0,5780026164848,65003,229mm x 229mm,304.99 mm,5,,60°42'35.70"N,154°40'03.99"W,60°46'07.46"N,154°47'48.01"W,60°46'27.60"N,154°32'48.01"W,60°39'03.04"N,154°32'17.99"W,60°38'44.84"N,154°47'17.99"W,60.709916,-154.667774,60.768738,-154.79667,60.774334,-154.54667,60.650844,-154.53833,60.645789,-154.78833,AR5780026164848,AR5780026164848,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164848
398,AR5780026164712,5,,2,78000,,002616,4712,1978/06/20,65500,0000,13,8,1,5780026164712,65003,229mm x 229mm,304.99 mm,6,,60°47'30.06"N,154°56'52.26"W,60°51'09.40"N,155°04'34.00"W,60°51'17.11"N,154°49'32.02"W,60°43'49.52"N,154°49'08.00"W,60°43'44.30"N,155°04'09.98"W,60.791682,-154.947849,60.852612,-155.07611,60.854753,-154.82556,60.730421,-154.81889,60.728972,-155.06944,AR5780026164712,AR5780026164712,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164712
399,AR5780026164847,5,,2,78000,,002616,4847,1978/06/20,64538,0000,13,8,0,5780026164847,65003,229mm x 229mm,304.99 mm,5,,60°42'44.59"N,154°33'06.98"W,60°46'16.78"N,154°40'51.49"W,60°46'36.94"N,154°25'50.52"W,60°39'11.48"N,154°25'20.50"W,60°38'53.26"N,154°40'21.50"W,60.712385,-154.55194,60.771328,-154.68097,60.776929,-154.4307,60.65319,-154.42236,60.648128,-154.67264,AR5780026164847,AR5780026164847,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164847
400,AR5780026164713,5,,2,78000,,002616,4713,1978/06/20,65500,0000,13,8,1,5780026164713,65003,229mm x 229mm,304.99 mm,6,,60°47'32.93"N,154°50'11.26"W,60°51'12.82"N,154°57'54.00"W,60°51'20.55"N,154°42'50.00"W,60°43'51.84"N,154°42'25.99"W,60°43'46.61"N,154°57'29.99"W,60.792481,-154.836461,60.853562,-154.965,60.855708,-154.71389,60.731066,-154.70722,60.729615,-154.95833,AR5780026164713,AR5780026164713,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164713
401,AR5780026164714,5,,2,78000,,002616,4714,1978/06/20,65500,0000,13,8,1,5780026164714,65003,229mm x 229mm,304.99 mm,6,,60°47'35.75"N,154°43'43.26"W,60°51'16.26"N,154°51'11.99"W,60°51'24.00"N,154°36'06.01"W,60°43'54.00"N,154°36'11.99"W,60°43'48.76"N,154°51'18.00"W,60.793265,-154.728684,60.854516,-154.85333,60.856667,-154.60167,60.731667,-154.60333,60.730212,-154.855,AR5780026164714,AR5780026164714,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164714
402,AR5780026164795,5,,2,78000,,002616,4795,1978/06/20,65142,0000,13,8,0,5780026164795,65003,229mm x 229mm,304.99 mm,5,,60°29'37.89"N,154°36'51.20"W,60°33'24.00"N,154°44'30.01"W,60°33'24.00"N,154°29'26.02"W,60°25'52.58"N,154°29'13.99"W,60°25'50.94"N,154°44'18.02"W,60.493859,-154.614221,60.556667,-154.74167,60.556667,-154.49056,60.431272,-154.48722,60.430818,-154.73834,AR5780026164795,AR5780026164795,http://earthexplorer.usgs.gov/download/options/4660/AR5780026164795
